iso3,countryname,capital,lat,lon,comtradenum
ALB,Albania,Tirana,41.3281482,19.8184435,8
AND,Andorra,Andorra la Vella,42.4979185,1.5032264,20
AUT,Austria,Vienna,48.2083537,16.3725042,40
BEL,Belgium,Brussels,50.8467372,4.352493,56
BGR,Bulgaria,Sofia,42.6977028,23.3217359,100
BIH,Bosnia and Herzegovina,Sarajevo,43.8570713,18.4126147,70
BLR,Belarus,Minsk,53.9024716,27.5618225,112
CHE,Switzerland,Bern,46.9484742,7.4521749,756
CHI,Channel Islands,Saint Helier,49.188,-2.101,831
CYP,Cyprus,Nicosia,35.1746503,33.3638783,196
CZE,Czechia,Prague,50.0755,14.4378,203
DEU,Germany,Berlin,52.52,13.405,276
DNK,Denmark,Copenhagen,55.6867243,12.5700724,208
ESP,Spain,Madrid,40.4168,-3.7038,724
EST,Estonia,Tallinn,59.437,24.7536,233
FIN,Finland,Helsinki,60.1666204,24.9435408,246
FRA,France,Paris,48.8534951,2.3483915,250
FRO,Faroe Islands,Torshavn,62.0107,-6.7741,234
GBR,United Kingdom,London,51.5074456,-0.1277653,826
GIB,Gibraltar,Gibraltar,36.1285933,-5.3474761,292
GRC,Greece,Athens,37.9755648,23.7348324,300
GRL,Greenland,Nuuk,64.1835,-51.7216,304
HRV,Croatia,Zagreb,45.8130967,15.9772795,191
HUN,Hungary,Budapest,47.4979,19.0402,348
IMN,Isle of Man,Douglas,54.1524,-4.4861,833
IRL,Ireland,Dublin,53.3498,-6.2603,372
ISL,Iceland,Reykjavik,64.1355,-21.8954,352
ITA,Italy,Rome,41.9028,12.4964,380
LIE,Liechtenstein,Vaduz,47.1415,9.5215,438
LTU,Lithuania,Vilnius,54.6870458,25.2829111,440
LUX,Luxembourg,Luxembourg,49.6116,6.1319,442
LVA,Latvia,Riga,56.9493977,24.1051846,428
MCO,Monaco,Monaco,43.7323492,7.4276832,492
MDA,Moldova,Chisinau,47.0105,28.8638,498
MKD,North Macedonia,Skopje,41.9962164,21.4318935,807
MNE,Montenegro,Podgorica,42.4304,19.2594,499
NLD,Netherlands,Amsterdam,52.3676,4.9041,528
NOR,Norway,Oslo,59.9133301,10.7389701,578
POL,Poland,Warsaw,52.2333742,21.0711489,616
PRT,Portugal,Lisbon,38.7077507,-9.1365919,620
ROU,Romania,Bucharest,44.4361414,26.102684,642
RUS,Russian Federation,Moscow,55.625578,37.6063916,643
SMR,San Marino,City of San Marino,43.9361,12.4463,674
SRB,Serbia,Belgrade,44.8153318,20.4456588,688
SVK,Slovak Republic,Bratislava,48.1559178,17.1313541,703
SVN,Slovenia,Ljubljana,46.0500268,14.5069289,705
SWE,Sweden,Stockholm,59.3293,18.0686,752
TUR,Turkiye,Ankara,39.9334,32.8597,792
UKR,Ukraine,Kyiv,50.4500336,30.5241361,804
XKX,Kosovo,Pristina,42.6629,21.1655,926
