year,sourceiso3,targetiso3,sourcecomtradenum,targetcomtradenum,flowcode,flowdesc,cmdcode,cmddesc,primaryvalue,cifvalue,fobvalue,netwgt,classificationcode,isreported,isaggregate,sourcedataset,qualityflag,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,primaryValue,legacyEstimationFlag,isReported,isAggregate
2019,,,8,40,X,,TOTAL,,16292901.592,0.0,16292901.592,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,20,8,X,,TOTAL,,365.668,,365.668,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,20,40,X,,TOTAL,,168018.447,,168018.447,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,40,8,X,,TOTAL,,63186189.881,,63186189.881,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,40,20,X,,TOTAL,,7942983.322,,7942983.322,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,8,40,X,,TOTAL,,15170330.409,0.0,15170330.409,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,20,8,X,,TOTAL,,11596.13,,11596.13,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,20,40,X,,TOTAL,,194028.666,,194028.666,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,40,8,X,,TOTAL,,54972120.617,0.0,54972120.617,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,40,20,X,,TOTAL,,5280108.799,0.0,5280108.799,0.0,H5,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,8,40,X,,TOTAL,All products,330846301.356,,,,H6,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,8,56,X,,TOTAL,All products,71696798.021,,,,H6,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,8,100,X,,TOTAL,All products,328521216.658,,,,H6,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,8,70,X,,TOTAL,All products,239179674.689,,,,H6,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,8,112,X,,TOTAL,All products,8014437.936,,,,H6,False,True,uncomtrade,api_ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
