iso3,year,gdp_usd,population,trade_pct_gdp,fdi_inflow_pct_gdp
ALB,2019,15585111614.0376,2567801.0,75.382128932689,7.70621465029911
ALB,2020,15241458744.5927,2528480.0,59.5206994391875,7.01865154497786
ALB,2021,18031989573.0294,2489762.0,75.5904040905009,6.75791457973236
ALB,2022,19017247013.8821,2451636.0,84.6980435944865,7.57934042905775
ALB,2023,23491242727.4082,2414095.0,82.3524933990723,6.90036950940795
AND,2019,3155150255.91195,76474.0,,13.3818072686093
AND,2020,2891002460.29153,77380.0,,9.43228499707799
AND,2021,3324648075.56293,78364.0,,14.5826559404996
AND,2022,3380611694.73392,79705.0,,17.5702350620217
AND,2023,3785065524.84754,80856.0,,7.28597529959797
AUT,2019,442983642371.842,8879920.0,108.207284904426,-2.85255617561831
AUT,2020,434397601557.696,8916864.0,99.9482141095975,-2.76332070661681
AUT,2021,480466363176.806,8955797.0,111.032932124165,3.95409878611296
AUT,2022,473221298968.216,9041851.0,123.579578652902,3.0221599256451
AUT,2023,516670509628.876,9131761.0,115.152914822732,0.566112370322707
BEL,2019,536726344405.489,11488980.0,165.46547893199,-1.97252997818915
BEL,2020,529694473501.791,11538604.0,156.950121282783,-5.69020542304612
BEL,2021,598522422241.851,11586195.0,177.381892440073,5.6774240968721
BEL,2022,591085783326.267,11680210.0,191.179031303786,2.22243107053374
BEL,2023,651330595110.011,11779946.0,165.846946501713,-0.652181403274143
BGR,2019,68507731353.9114,6616726.0,125.260418346411,3.24233477901203
BGR,2020,70486877546.4901,6550696.0,110.423899846249,3.97434259753147
BGR,2021,84374613233.36,6507301.0,121.214088263823,2.52884122158723
BGR,2022,90506153293.6733,6465097.0,138.844877241238,5.24661564677497
BGR,2023,102199231384.542,6446596.0,119.899505956556,5.05888344751487
BIH,2019,20482608984.3316,3345533.0,94.516125154246,2.18661375097898
BIH,2020,20226038369.9191,3299349.0,82.5216467994007,2.38939027026416
BIH,2021,23672712121.2671,3244907.0,96.7391144408744,3.24230818475028
BIH,2022,24534663636.1778,3204802.0,110.205284377387,3.7882728069108
BIH,2023,27592361498.4057,3185073.0,99.6330317954442,4.0920266922729
BLR,2019,64410170653.4569,9419758.0,130.850406102184,1.976861708457
BLR,2020,61371673344.7424,9379952.0,118.934176146534,2.27010267778425
BLR,2021,69673747131.87,9302585.0,136.014167877476,1.76640687852003
BLR,2022,73775179924.603,9228071.0,120.024207576094,2.17745011943276
BLR,2023,72478760370.4258,9178298.0,131.584674884961,2.74854001098901
CHE,2019,721369112726.724,8575280.0,124.127612180467,3.09898460757035
CHE,2020,741999406005.627,8638167.0,121.785977998371,-32.1514826654422
CHE,2021,815309330986.719,8704546.0,130.016261288489,-14.8138174061548
CHE,2022,828508926958.393,8777088.0,138.500698753519,-1.49836009615472
CHE,2023,894424821645.205,8888822.0,135.32000224909,-12.9086989818136
CHI,2019,10031864649.0819,165639.0,,
CHI,2020,9439810769.23077,166235.0,,
CHI,2021,11157540109.8939,166741.0,,
CHI,2022,11308272505.183,167215.0,,
CHI,2023,12507320838.3932,167691.0,,
CYP,2019,26196667099.5303,1286671.0,150.506169561162,431.788470101997
CYP,2020,25555093854.2968,1302247.0,160.66871645997,-296.013199232631
CYP,2021,30372642502.4897,1317309.0,176.82773681987,21.8171172987562
CYP,2022,31218038929.0919,1331370.0,205.753543745524,0.17262361266281
CYP,2023,35075423857.0996,1344976.0,190.740788408329,-63.1546692723109
CZE,2019,256794209028.77,10671870.0,138.154609993871,4.18705737619001
CZE,2020,251109660602.536,10697858.0,128.780430305965,3.39114066226469
CZE,2021,290972714482.313,10505772.0,137.378116302868,4.43029524586196
CZE,2022,301831228325.556,10672118.0,144.011494109397,3.02937517288668
CZE,2023,345059295659.911,10864042.0,131.892598295876,3.4462419046487
DEU,2019,3959894794039.21,83092962.0,79.0732427175683,1.9056930139782
DEU,2020,3941398957073.94,83160871.0,72.9335327120137,4.48523547812751
DEU,2021,4355251953410.78,83196078.0,79.9195348609851,2.93002168676674
DEU,2022,4201021706478.62,83177813.0,88.7857542130501,2.07605246190373
DEU,2023,4562207532490.28,83287273.0,81.9625483787634,1.69740103499567
DNK,2019,345401473012.615,5814422.0,111.891475065653,-1.10067098319484
DNK,2020,355631021931.621,5831404.0,104.433432671151,0.36387453868222
DNK,2021,406110162088.054,5856733.0,112.321472697291,4.18538817542322
DNK,2022,400114306337.077,5903037.0,131.995824909071,6.9048667972729
DNK,2023,404651706117.557,5946952.0,129.625337431278,2.21212901346256
ESP,2019,1403496387686.27,47118501.0,66.3662250440692,2.16052375036307
ESP,2020,1289783836971.21,47359424.0,59.4461280147076,2.92165980781023
ESP,2021,1461244901852.69,47443821.0,66.524588943191,4.42272902452136
ESP,2022,1448850658406.62,47786102.0,78.4657338703054,4.65609043363165
ESP,2023,1619481980719.64,48352528.0,71.7976366055733,2.89981565316893
EST,2019,31873748770.0313,1326898.0,140.352147998549,9.76819364646981
EST,2020,31820771493.8974,1329522.0,137.392641283846,12.0147752855703
EST,2021,37201101170.5847,1330932.0,160.471922305927,20.2291128645653
EST,2022,38226641740.29,1348840.0,175.68711950524,4.52988372813183
EST,2023,41470344395.1086,1370286.0,154.592617111149,12.540812828973
FIN,2019,267014821129.411,5521606.0,80.5641502947367,6.09707710249334
FIN,2020,270000311606.226,5529543.0,72.1845955995888,-0.939114055968044
FIN,2021,294223210496.119,5541017.0,79.7892781913782,8.01406291677223
FIN,2022,280253099309.34,5556106.0,94.5625340522667,4.66691154081507
FIN,2023,295021982462.75,5583911.0,85.5633906057585,-0.0389119475535467
FRA,2019,2722793515171.76,67382061.0,66.4289771741449,1.96486943301562
FRA,2020,2647926055110.05,67601110.0,58.8388907240647,0.731471704018579
FRA,2021,2966433692008.09,67842811.0,63.788482630872,3.30405312221271
FRA,2022,2794788137066.94,68184457.0,75.9630077981996,4.0180319137717
FRA,2023,3056250648138.29,68372286.0,70.6261450610225,0.590645170561014
FRO,2019,3266432734.22819,51792.0,108.623245950251,
FRO,2020,3271813311.5831,52565.0,96.2241937518396,
FRO,2021,3699551717.10561,53296.0,103.488037146112,
FRO,2022,3615241800.50058,53912.0,122.86334141193,
FRO,2023,3943131022.2291,54414.0,113.336400780359,
GBR,2019,2875710080015.3,66631000.0,65.0035664177054,0.688204352262878
GBR,2020,2724001478304.59,66744000.0,59.1598893030611,5.77039185007421
GBR,2021,3194559188925.93,66984000.0,58.53838629291,3.20643815254935
GBR,2022,3181244350465.41,67604000.0,69.1989264413981,2.91635435189931
GBR,2023,3420796653789.08,68492000.0,64.9923841747803,0.403116734836793
GIB,2019,,35494.0,,
GIB,2020,,36173.0,,
GIB,2021,,36858.0,,
GIB,2022,,37609.0,,
GIB,2023,,38471.0,,
GRC,2019,207305649887.019,10721582.0,80.5900949510457,2.41172201156202
GRC,2020,191362985554.861,10698599.0,70.2937464580745,1.72637818314203
GRC,2021,218303801895.326,10569207.0,88.0126654490379,3.0165221032062
GRC,2022,217990189600.69,10436882.0,108.121843229922,3.69648293387112
GRC,2023,242946187738.269,10407351.0,92.4710882947018,1.94366777616511
GRL,2019,2997309971.87623,56225.0,92.1907515607492,
GRL,2020,3089625554.40473,56367.0,82.6595028892583,
GRL,2021,3293578467.57327,56653.0,83.6838572277142,
GRL,2022,3152334771.77992,56661.0,93.3651328766632,
GRL,2023,3326543974.39193,56865.0,91.8900994375821,
HRV,2019,61466721186.3116,3949390.0,101.394766564216,6.47286243805983
HRV,2020,57959843541.3699,3914206.0,89.5480523143212,2.53925892567448
HRV,2021,69002365163.3368,3878981.0,102.328697150799,7.42754516764421
HRV,2022,71196498671.1145,3855641.0,125.410877974694,5.51626974323097
HRV,2023,85624153964.0987,3859686.0,107.278314008304,3.90300483680134
HUN,2019,164936682033.992,9694824.0,159.925556464831,59.5775493833952
HUN,2020,158468487754.196,9670419.0,154.527002936377,105.635755544096
HUN,2021,183282685440.486,9630932.0,159.187527332834,18.2639108972104
HUN,2022,177002580544.155,9605074.0,185.000204092698,-1.08324491969383
HUN,2023,213240316634.648,9592186.0,158.385747467469,-33.1910318158223
IMN,2019,7314967866.28289,83957.0,,
IMN,2020,6684225641.02564,84064.0,,
IMN,2021,7931193222.06405,84106.0,,
IMN,2022,7431257410.92713,84132.0,,
IMN,2023,,84165.0,,
IRL,2019,407211793800.713,4976456.0,257.652772910421,7.67467578422042
IRL,2020,436009027818.948,5039747.0,258.780437026252,8.0934578228257
IRL,2021,530394123829.763,5110585.0,231.032350863586,14.6537815105934
IRL,2022,548341794599.09,5212836.0,237.755419559378,-6.48790793588936
IRL,2023,567372737459.116,5311538.0,239.649627585111,-24.6702589530642
ISL,2019,24985687022.0452,360563.0,83.7923659518443,-2.22712995709055
ISL,2020,22034665040.7901,366463.0,68.6550233460548,-3.98671122506617
ISL,2021,26234872402.457,372520.0,76.2317249850944,1.52832650765088
ISL,2022,29166102877.2755,382003.0,93.0487199615013,4.74021987239207
ISL,2023,31677891896.7861,385663.0,87.4049419122047,5.95630440129812
ITA,2019,2019606796583.53,59729081.0,58.6941902594738,1.77066894209208
ITA,2020,1907481094079.23,59438851.0,53.9394839042764,-0.893869914296462
ITA,2021,2179207773596.09,59133173.0,60.3019776202798,1.20474315612308
ITA,2022,2104067630319.46,59013667.0,72.0165023032697,2.94181405797187
ITA,2023,2316727999333.18,58984216.0,65.1071778763174,1.8137542726883
LIE,2019,6436467007.11932,38563.0,,
LIE,2020,6405870210.32293,38901.0,,
LIE,2021,7912602342.18895,39182.0,,
LIE,2022,7426856242.7736,39493.0,,
LIE,2023,8239379403.22096,39846.0,,
LTU,2019,55122066225.796,2811089.0,148.374996011818,6.23035300556357
LTU,2020,57412038533.2718,2810369.0,135.796565563519,7.94344900363669
LTU,2021,67037321008.9679,2808380.0,154.80672767597,3.74064234382321
LTU,2022,71033884499.7824,2831639.0,175.651612151093,3.40588108209325
LTU,2023,79789877416.1681,2871585.0,149.041909014608,4.80150438624708
LUX,2019,69872035113.6469,620001.0,382.66078058442,234.310617307358
LUX,2020,73670782100.3909,630419.0,375.581396376432,-4.55819523596748
LUX,2021,86386759695.1653,640064.0,397.506180867971,28.7187121123012
LUX,2022,80801680397.0139,653103.0,412.177169924175,-391.555119009248
LUX,2023,88788881539.3937,666430.0,402.566968197345,-10.4511316835125
LVA,2019,33099503950.847,1913822.0,125.29163170793,3.37100266711483
LVA,2020,33379927434.6149,1900449.0,123.88319804656,2.81413557812427
LVA,2021,38183326784.9335,1884490.0,136.796615414819,9.77936027100744
LVA,2022,38003198508.9107,1879383.0,159.892778190649,3.20337891789771
LVA,2023,42779550936.838,1883710.0,135.642989154266,3.94830779361871
MCO,2019,7383496254.23721,38109.0,,
MCO,2020,6730736282.78961,38050.0,,
MCO,2021,8623242743.29564,38527.0,,
MCO,2022,8800430486.17137,38931.0,,
MCO,2023,10003892565.2005,38956.0,,
MDA,2019,11736797054.6965,2664224.0,87.6322371148906,4.44218297010915
MDA,2020,11530746234.4492,2635130.0,79.265722119158,1.35047634241375
MDA,2021,13691869264.0794,2595809.0,88.4708865399267,2.8200678267721
MDA,2022,14525337523.7271,2528654.0,112.117671579766,4.03446735088075
MDA,2023,16711906746.2133,2457783.0,93.9946211488052,2.15951089914844
MKD,2019,12606338448.547,1876262.0,138.576231840539,4.35892493383855
MKD,2020,12361036913.8409,1856124.0,128.241244322257,0.0622421869397704
MKD,2021,14000283827.0154,1837114.0,146.721411484074,4.97315294989199
MKD,2022,13932436550.0883,1831712.0,166.147357379878,6.13067578989693
MKD,2023,15855131188.9092,1827816.0,147.79425348309,4.04601094449743
MNE,2019,5483476883.4658,626753.0,110.0161238696,7.61542118173081
MNE,2020,4723571497.76347,626590.0,87.8612027134909,11.2394405744141
MNE,2021,5823715809.63286,625053.0,105.719249175045,11.9123394477171
MNE,2022,6251215144.13471,623591.0,125.455937754994,13.9582230042507
MNE,2023,7644389159.84471,623529.0,116.806669538329,6.87914947745747
NLD,2019,928903005576.469,17344874.0,160.676671884999,-13.7565327156949
NLD,2020,932560861701.17,17441500.0,152.233230409706,-23.6860117625863
NLD,2021,1054472123449.6,17533044.0,163.154842689698,-10.9725941589172
NLD,2022,1046540797548.64,17700982.0,184.107484252682,1.47701805979237
NLD,2023,1135475867551.0,17877117.0,165.030429478933,-30.2430732965592
NOR,2019,408742840909.091,5347896.0,70.8958205272987,3.99513402641071
NOR,2020,367633418886.627,5379475.0,65.3539790413323,-0.892552414465765
NOR,2021,503367986030.268,5408320.0,71.2227137759599,3.64643942475354
NOR,2022,596297651035.798,5457127.0,82.6094798361389,2.39446435427431
NOR,2023,482949731776.587,5519601.0,80.3638456401269,2.85439221069972
POL,2019,602683770144.88,37965475.0,101.581033817373,3.15455649244208
POL,2020,605914237903.742,37515748.0,99.2590912303436,3.31499059495462
POL,2021,689170230665.35,36981559.0,110.874283021945,5.44306737738578
POL,2022,695607470875.276,36821749.0,123.021332860345,6.00626096603428
POL,2023,812451193396.143,36687353.0,110.024935041815,4.38918673390545
PRT,2019,240115970063.019,10286263.0,86.7709889083586,4.5038935303436
PRT,2020,229618773422.577,10297081.0,76.5086407209215,1.8141455418251
PRT,2021,256055879091.139,10361831.0,85.8735452148975,3.60836004516304
PRT,2022,256898677175.024,10434332.0,101.364146479435,5.08368921917481
PRT,2023,292323800948.839,10578174.0,93.1358537072038,3.96325428743124
ROU,2019,250080428511.595,19371648.0,84.9063630584793,2.94522918789332
ROU,2020,250625048303.578,19265250.0,78.3616463562709,1.43737355732839
ROU,2021,285071280114.469,19122059.0,87.0711965460145,4.12834531077957
ROU,2022,295319437556.988,19048502.0,93.9496509383447,3.88647349252643
ROU,2023,347757995758.914,19061062.0,83.3753324062231,2.50426860654842
RUS,2019,1693115002708.32,145453291.0,49.2287536619033,1.88851731564914
RUS,2020,1493075894362.14,145245148.0,45.9669082029127,0.634851184443604
RUS,2021,1829186719575.1,144746762.0,50.5861954621752,2.21136527873962
RUS,2022,2291612121334.64,144236933.0,42.7827864294811,-1.73680981421063
RUS,2023,2071505725030.58,143826130.0,40.8343264105273,-0.484918766027148
SMR,2019,1616340692.28937,34663.0,307.264778080283,
