iso3,country_name,year,gdp_usd,population,trade_pct_gdp,fdi_inflow_pct_gdp
AND,Andorra,2013,3193513470.43941,75194.0,,
AND,Andorra,2014,3271686452.47686,73737.0,,
AND,Andorra,2015,2789882569.1005,72174.0,,
AND,Andorra,2016,2896611878.6258,72181.0,,
AND,Andorra,2017,3000160414.63795,73763.0,,
AND,Andorra,2018,3218418631.67579,75162.0,,
AND,Andorra,2019,3155150255.91195,76474.0,,13.3818072686093
AND,Andorra,2020,2891002460.29153,77380.0,,9.43228499707799
AND,Andorra,2021,3324648075.56293,78364.0,,14.5826559404996
AND,Andorra,2022,3380611694.73392,79705.0,,17.5702350620217
AND,Andorra,2023,3785065524.84754,80856.0,,7.28597529959797
CHI,Channel Islands,2013,9594745810.67159,161777.0,,
CHI,Channel Islands,2014,10527973277.6068,162726.0,,
CHI,Channel Islands,2015,10109273770.329,163454.0,,
CHI,Channel Islands,2016,9168857222.32574,163883.0,,
CHI,Channel Islands,2017,9170044517.20264,164319.0,,
CHI,Channel Islands,2018,10026394043.6136,164949.0,,
CHI,Channel Islands,2019,10031864649.0819,165639.0,,
CHI,Channel Islands,2020,9439810769.23077,166235.0,,
CHI,Channel Islands,2021,11157540109.8939,166741.0,,
CHI,Channel Islands,2022,11308272505.183,167215.0,,
CHI,Channel Islands,2023,12507320838.3932,167691.0,,
FRO,Faroe Islands,2013,2690110520.92548,48246.0,114.062282820929,
FRO,Faroe Islands,2014,2914012679.27277,48428.0,106.142539193387,
FRO,Faroe Islands,2015,2573905971.05459,48899.0,105.610671594387,
FRO,Faroe Islands,2016,2813278868.78208,49464.0,104.552703002397,
FRO,Faroe Islands,2017,2980057377.87967,50180.0,107.238908370178,
FRO,Faroe Islands,2018,3188600927.46688,50996.0,106.874664759521,
FRO,Faroe Islands,2019,3266432734.22819,51792.0,108.623245950251,
FRO,Faroe Islands,2020,3271813311.5831,52565.0,96.2241937518396,
FRO,Faroe Islands,2021,3699551717.10561,53296.0,103.488037146112,
FRO,Faroe Islands,2022,3615241800.50058,53912.0,122.86334141193,
FRO,Faroe Islands,2023,3943131022.2291,54414.0,113.336400780359,
GIB,Gibraltar,2013,,32407.0,,
GIB,Gibraltar,2014,,32813.0,,
GIB,Gibraltar,2015,,33193.0,,
GIB,Gibraltar,2016,,33658.0,,
GIB,Gibraltar,2017,,34245.0,,
GIB,Gibraltar,2018,,34854.0,,
GIB,Gibraltar,2019,,35494.0,,
GIB,Gibraltar,2020,,36173.0,,
GIB,Gibraltar,2021,,36858.0,,
GIB,Gibraltar,2022,,37609.0,,
GIB,Gibraltar,2023,,38471.0,,
GRL,Greenland,2013,2684946990.12448,56483.0,95.9116681587586,
GRL,Greenland,2014,2842065708.35962,56295.0,87.0885837878503,
GRL,Greenland,2015,2499113022.81675,56114.0,83.1013810084573,
GRL,Greenland,2016,2707139544.46695,56186.0,85.8376729204278,
GRL,Greenland,2017,2851613679.03433,56172.0,84.2072558673104,
GRL,Greenland,2018,3055782146.15957,56023.0,89.7766906266033,
GRL,Greenland,2019,2997309971.87623,56225.0,92.1907515607492,
GRL,Greenland,2020,3089625554.40473,56367.0,82.6595028892583,
GRL,Greenland,2021,3293578467.57327,56653.0,83.6838572277142,
GRL,Greenland,2022,3152334771.77992,56661.0,93.3651328766632,
GRL,Greenland,2023,3326543974.39193,56865.0,91.8900994375821,
IMN,Isle of Man,2013,7001175622.71266,84141.0,,
IMN,Isle of Man,2014,7708454412.32126,83892.0,,
IMN,Isle of Man,2015,7084800892.22284,83593.0,,
IMN,Isle of Man,2016,6846377563.00683,83466.0,,
IMN,Isle of Man,2017,6979788333.50279,83609.0,,
IMN,Isle of Man,2018,7491649455.92717,83805.0,,
IMN,Isle of Man,2019,7314967866.28289,83957.0,,
IMN,Isle of Man,2020,6684225641.02564,84064.0,,
IMN,Isle of Man,2021,7931193222.06405,84106.0,,
IMN,Isle of Man,2022,7431257410.92713,84132.0,,
IMN,Isle of Man,2023,,84165.0,,
LIE,Liechtenstein,2013,6391708310.67727,36984.0,,18.068983064869
LIE,Liechtenstein,2014,6657526979.72277,37248.0,,140.293444143294
