country_code,country_name,gdp_usd,population,name,region,incomeLevel
ZWE,Zimbabwe,40757561708.7741,16069056.0,Zimbabwe,SSF,LMC
ZMB,Zambia,29163782140.4858,20152938.0,Zambia,SSF,LMC
YEM,"Yemen, Rep.",,38222876.0,"Yemen, Rep.",MEA,LIC
PSE,West Bank and Gaza,19165500000.0,5043612.0,West Bank and Gaza,MEA,LMC
VIR,Virgin Islands (U.S.),4672000000.0,105413.0,Virgin Islands (U.S.),LCN,HIC
VNM,Viet Nam,413445230668.578,99680655.0,Viet Nam,EAS,LMC
VEN,"Venezuela, RB",89013255584.7499,28213017.0,"Venezuela, RB",LCN,INX
VUT,Vanuatu,1055031360.57356,313046.0,Vanuatu,EAS,LMC
UZB,Uzbekistan,90095926567.4359,34938955.0,Uzbekistan,ECS,LMC
URY,Uruguay,70594110920.0358,3390913.0,Uruguay,LCN,HIC
USA,United States,25604848907611.0,334017321.0,United States,NAC,HIC
GBR,United Kingdom,3181244350465.41,67604000.0,United Kingdom,ECS,HIC
ARE,United Arab Emirates,511403403675.97,10074977.0,United Arab Emirates,MEA,HIC
UKR,Ukraine,161989520721.19,41048766.0,Ukraine,ECS,UMC
UGA,Uganda,45565333210.9108,47312719.0,Uganda,SSF,LIC
TUV,Tuvalu,59065982.0873657,9992.0,Tuvalu,EAS,UMC
TCA,Turks and Caicos Islands,1434119000.0,45847.0,Turks and Caicos Islands,LCN,HIC
TKM,Turkmenistan,42208726137.7192,7230193.0,Turkmenistan,ECS,UMC
TUR,Turkiye,926097476913.818,84979913.0,Turkiye,ECS,UMC
TUN,Tunisia,44929920092.7955,12119334.0,Tunisia,MEA,LMC
TTO,Trinidad and Tobago,28341164301.126,1365805.0,Trinidad and Tobago,LCN,HIC
TON,Tonga,556514555.400882,105042.0,Tonga,EAS,UMC
TGO,Togo,8646453099.4124,9089738.0,Togo,SSF,LIC
TLS,Timor-Leste,3208599889.00965,1369295.0,Timor-Leste,EAS,LMC
THA,Thailand,495644697587.661,71735329.0,Thailand,EAS,UMC
TZA,Tanzania,75749121842.9149,64711821.0,Tanzania,SSF,LMC
TJK,Tajikistan,10713525200.3998,10182222.0,Tajikistan,ECS,LMC
SYR,Syrian Arab Republic,23622827079.5047,22462173.0,Syrian Arab Republic,MEA,LIC
CHE,Switzerland,828508926958.393,8777088.0,Switzerland,ECS,HIC
SWE,Sweden,575071237640.921,10486941.0,Sweden,ECS,HIC
SUR,Suriname,3791603200.0259,623164.0,Suriname,LCN,UMC
SDN,Sudan,51666875363.0963,49383346.0,Sudan,SSF,LIC
VCT,St. Vincent and the Grenadines,989188888.888889,102046.0,St. Vincent and the Grenadines,LCN,UMC
MAF,St. Martin (French part),,28870.0,St. Martin (French part),LCN,HIC
LCA,St. Lucia,2342714814.81481,178781.0,St. Lucia,LCN,UMC
KNA,St. Kitts and Nevis,981429629.62963,46709.0,St. Kitts and Nevis,LCN,HIC
LKA,Sri Lanka,74143020262.8076,22181000.0,Sri Lanka,SAS,LMC
ESP,Spain,1448850658406.62,47786102.0,Spain,ECS,HIC
SSD,South Sudan,,11021177.0,South Sudan,SSF,LIC
ZAF,South Africa,407596043067.885,62378410.0,South Africa,SSF,UMC
SOM,"Somalia, Fed. Rep.",10203000000.0,17801897.0,"Somalia, Fed. Rep.",SSF,LIC
SLB,Solomon Islands,1466670929.62333,781066.0,Solomon Islands,EAS,LMC
SVN,Slovenia,59899117741.0022,2112076.0,Slovenia,ECS,HIC
